path,start_off,end_off,lfh_size,compressed_size,uncompressed_size,compression,file_id,subject,modality,stimulus,repetition
sub056/2drt/raw/sub056_2drt_01_vcv1_r1_raw.h5,15848669465,16026785874,111,178116299,387146732,8,26378810,sub056,2drt,01_vcv1,1
sub056/2drt/raw/sub056_2drt_02_vcv2_r1_raw.h5,16026785875,16198480245,111,171694260,373177552,8,26378810,sub056,2drt,02_vcv2,1
sub056/2drt/raw/sub056_2drt_03_vcv3_r1_raw.h5,16198480246,16353450887,111,154970531,336828704,8,26378810,sub056,2drt,03_vcv3,1
sub056/2drt/raw/sub056_2drt_04_bvt_r1_raw.h5,16353450888,16476212123,110,122761126,266833712,8,26378810,sub056,2drt,04_bvt,1
sub056/2drt/raw/sub056_2drt_05_shibboleth_r1_raw.h5,16476212124,16616466596,117,140254356,305068356,8,26378810,sub056,2drt,05_shibboleth,1
sub056/2drt/raw/sub056_2drt_06_rainbow_r1_raw.h5,16616466597,16834949519,114,218482809,475554504,8,26378810,sub056,2drt,06_rainbow,1
sub056/2drt/raw/sub056_2drt_07_grandfather1_r1_raw.h5,16834949520,16995192194,119,160242556,348960388,8,26378810,sub056,2drt,07_grandfather1,1
sub056/2drt/raw/sub056_2drt_08_grandfather2_r1_raw.h5,16995192195,17154872428,119,159680115,347656288,8,26378810,sub056,2drt,08_grandfather2,1
sub056/2drt/raw/sub056_2drt_09_northwind1_r1_raw.h5,17154872429,17266206750,117,111334205,242375048,8,26378810,sub056,2drt,09_northwind1,1
sub056/2drt/raw/sub056_2drt_10_northwind2_r1_raw.h5,17266206751,17387942958,117,121736091,265094912,8,26378810,sub056,2drt,10_northwind2,1
sub056/2drt/raw/sub056_2drt_11_postures_r1_raw.h5,17387942959,17495547516,115,107604443,234350960,8,26378810,sub056,2drt,11_postures,1
sub056/2drt/raw/sub056_2drt_01_vcv1_r2_raw.h5,17495547517,17654774333,111,159226706,346494992,8,26378810,sub056,2drt,01_vcv1,2
sub056/2drt/raw/sub056_2drt_02_vcv2_r2_raw.h5,17654774334,17810626839,111,155852395,339390700,8,26378810,sub056,2drt,02_vcv2,2
sub056/2drt/raw/sub056_2drt_03_vcv3_r2_raw.h5,17810626840,17955950864,111,145323914,316523840,8,26378810,sub056,2drt,03_vcv3,2
sub056/2drt/raw/sub056_2drt_04_bvt_r2_raw.h5,17955950865,18075981597,110,120030623,261178420,8,26378810,sub056,2drt,04_bvt,2
sub056/2drt/raw/sub056_2drt_05_shibboleth_r2_raw.h5,18075981598,18199077410,117,123095696,267850108,8,26378810,sub056,2drt,05_shibboleth,2
sub056/2drt/raw/sub056_2drt_06_rainbow_r2_raw.h5,18199077411,18376829384,114,177751860,387001832,8,26378810,sub056,2drt,06_rainbow,2
sub056/2drt/raw/sub056_2drt_07_grandfather1_r2_raw.h5,18376829385,18524372538,119,147543035,321213132,8,26378810,sub056,2drt,07_grandfather1,2
sub056/2drt/raw/sub056_2drt_08_grandfather2_r2_raw.h5,18524372539,18637772928,119,113400271,246774540,8,26378810,sub056,2drt,08_grandfather2,2
sub056/2drt/raw/sub056_2drt_09_northwind1_r2_raw.h5,18637772929,18728141009,117,90367964,196601412,8,26378810,sub056,2drt,09_northwind1,2
sub056/2drt/raw/sub056_2drt_10_northwind2_r2_raw.h5,18728141010,18842524193,117,114383067,248998436,8,26378810,sub056,2drt,10_northwind2,2
sub056/2drt/raw/sub056_2drt_11_postures_r2_raw.h5,18842524194,18935947934,115,93423626,203415904,8,26378810,sub056,2drt,11_postures,2
sub056/2drt/raw/sub056_2drt_12_picture1_raw.h5,18935947935,19056748187,112,120800141,263402316,8,26378810,sub056,2drt,12_picture1,
sub056/2drt/raw/sub056_2drt_13_picture2_raw.h5,19056748188,19175845889,112,119097590,259584520,8,26378810,sub056,2drt,13_picture2,
sub056/2drt/raw/sub056_2drt_14_picture3_raw.h5,19175845890,19296247449,112,120401448,262436316,8,26378810,sub056,2drt,14_picture3,
sub056/2drt/raw/sub056_2drt_15_picture4_raw.h5,19296247450,19371289735,112,75042174,163534868,8,26378810,sub056,2drt,15_picture4,
sub056/2drt/raw/sub056_2drt_16_picture5_raw.h5,19371289736,19490478008,112,119188161,259729420,8,26378810,sub056,2drt,16_picture5,
sub056/2drt/raw/sub056_2drt_17_topic1_raw.h5,19490478009,19611540411,110,121062293,263643816,8,26378810,sub056,2drt,17_topic1,
sub056/2drt/raw/sub056_2drt_18_topic2_raw.h5,19611540412,19731404604,110,119864083,261275020,8,26378810,sub056,2drt,18_topic2,
sub056/2drt/raw/sub056_2drt_19_topic3_raw.h5,19731404605,19853544920,110,122140206,266157512,8,26378810,sub056,2drt,19_topic3,
sub056/2drt/raw/sub056_2drt_20_topic4_raw.h5,19853544921,19973795412,110,120250382,261902920,8,26378810,sub056,2drt,20_topic4,
sub056/2drt/raw/sub056_2drt_21_topic5_raw.h5,19973795413,20093263386,110,119467864,260260720,8,26378810,sub056,2drt,21_topic5,
sub052/2drt/raw/sub052_2drt_01_vcv1_r1_raw.h5,24245608941,24361667490,111,116058439,252478132,8,26378810,sub052,2drt,01_vcv1,1
sub052/2drt/raw/sub052_2drt_02_vcv2_r1_raw.h5,24361667491,24482635157,111,120967556,263112516,8,26378810,sub052,2drt,02_vcv2,1
sub052/2drt/raw/sub052_2drt_03_vcv3_r1_raw.h5,24482635158,24590247060,111,107611792,234012860,8,26378810,sub052,2drt,03_vcv3,1
sub052/2drt/raw/sub052_2drt_04_bvt_r1_raw.h5,24590247061,24666544428,110,76297258,165903664,8,26378810,sub052,2drt,04_bvt,1
sub052/2drt/raw/sub052_2drt_05_shibboleth_r1_raw.h5,24666544429,24743472455,117,76927910,167256064,8,26378810,sub052,2drt,05_shibboleth,1
sub052/2drt/raw/sub052_2drt_06_rainbow_r1_raw.h5,24743472456,24864401265,114,120928696,263015916,8,26378810,sub052,2drt,06_rainbow,1
sub052/2drt/raw/sub052_2drt_07_grandfather1_r1_raw.h5,24864401266,24964633723,119,100232339,218012984,8,26378810,sub052,2drt,07_grandfather1,1
